id,Energy
CoUJNZcpJV,0.8867650495838633
RtkByhWWeU,0.14648044744111244
HKhfxAJucM,0.7596400470697232
iAawctQVNk,0.43162810437566645
uWiEpDvGlS,0.6720123751520181
AgECHsstqR,0.9527773389480368
QIIWRfSSLf,0.19436938567720985
CbSoJuyJhM,0.09432404787528292
sxfHCvJCUk,0.03213806087117843
aDSwnOoRiJ,0.7967345260911918
zprfjabfQF,0.43354639412637297
pObtLwEjen,0.3688808735518464
oRReqoDDIK,0.21067718531682855
JeMTYUvzyP,0.4164628113125517
eijqtgeSyP,0.24778999374618527
SvnpfLSWVa,0.5445849714790428
JOpFvBKvme,0.3756698282294205
GtDAebTDfl,0.41218272844530257
WbyCcbTOGI,0.32870378926344845
nXZLWyGhHB,0.8689782606416281
gVQnBvMWbR,0.06786493059707566
DgkPwfZOhX,0.8694202221617361
EhjoWOAAkX,0.401370991157998
rZXsnFWlGj,0.7773031054988633
OlMRoQgGAV,0.8121111188869087
TucxiDezuB,0.1112388476004198
RXqvvdviSv,0.8029588609326136
cqCLlOCRfR,0.028506900928697565
ahwHbYladD,0.34307391280670074
tpieyAeuym,0.8470229075276295
rkJVuLOdpW,0.74802953916714
zcrsRCNPGj,0.46690067146952374
rmeHtUJgvb,0.4257487161709539
wxYSkDwonJ,0.6248645948739097
nreRhYYGxN,0.7580780859680015
TBhQqqLHJP,0.7524479222064692
VHRuawhOsJ,0.7294168357901966
CPucgEkfcT,0.8594218554067917
QdIKZCJGJD,0.8080503938042427
uxSoiAcWSb,0.7767161837010184
OXMbsqKygF,0.30017834896928
tPAoYCtsjJ,0.6172423197305679
SuMDkROaJh,0.3421121322241799
iFzJOZuAnw,0.4555258501486945
otRDuiFEWN,0.9839421662712737
FABtWlfjRn,0.08455577098231692
ayyAibRsby,0.5604785109841036
rLFDHUWeUV,0.7827905067305382
LUdzdKUOzZ,0.2826073435859757
aUaVCwRLsw,0.8551082106465691
bPGqLWhwHt,0.23645889385376806
aHdmRLdNfe,0.26454738142840184
iaCPzpcQjt,0.6848504874799376
RwbeAzVpmQ,0.7058375680415906
XLxEEPXOXi,0.13035795178115672
sWuMbMueFs,0.3313550134945147
OxXcotglRL,0.4452186168365657
uDajrqZRTq,0.9504056809768493
GxouKkXNWL,0.046866954116484116
rWKzxCpAyM,0.4947179748148032
BsHXJQbAhw,0.6179103625976184
cYGoEeyanM,0.5363909410407666
LHnoiWmSEQ,0.9963016161562004
DcUHMNiFnH,0.8388548745266456
BqrPSlOUuh,0.03933687377523809
xcKuEErhyE,0.35137199196894353
cpgHUiXPGw,0.6942322358330162
XSuslmBMgs,0.5706355573522808
MXVTBOnbTA,0.47905245315054035
QrKUSCJmtm,0.6425696016712444
SNqcpfxZct,0.2988366477618821
DEifLevFDK,0.13265082923172689
PEmURcwjbU,0.37778256351896466
HJSKCYKtrS,0.5512897793780552
GQUwIBQQJV,0.7407501067120195
ELPZGrkWqd,0.7023802383853764
yMnAupGEzN,0.09937901320514153
GnSAYidlZZ,0.8889043425837558
sShADANeFP,0.6294448556622197
WrPrkOzvDj,0.40886658430085465
jcVMLihNpE,0.4061346565723175
jcGlCeVFbv,0.004147945064343683
zALrdsQYDr,0.7261136342287222
RqpCPCHoMY,0.4152253714463182
PmPqWpDRzY,0.2889080144218118
uVMakurhXn,0.3021442631924446
HkcLcTUogG,0.6965764491636527
aBQkYlNrxo,0.6745510290772544
zKwFWFPeer,0.8419368493516562
